location,density
Wychwood,0.0
Yonge-Eglinton,0.0
Yonge-St.Clair,88.69315068493151
York University Heights,0.0
Yorkdale-Glen Park,69.76712328767124
Lambton Baby Point,0.0
Lansing-Westgate,0.0
Lawrence Park North,0.0
Lawrence Park South,0.0
Leaside-Bennington,0.0
Little Portugal,0.0
Long Branch,0.0
Malvern,0.0
Maple Leaf,0.0
Markland Wood,0.0
Milliken,0.0
Mimico,39.824657534246576
Morningside,0.0
Moss Park,1534.4219178082192
Mount Dennis,0.0
Mount Olive-Silverstone-Jamestown,52.512328767123286
Mount Pleasant East,0.0
Mount Pleasant West,0.0
New Toronto,0.0
Newtonbrook East,0.0
Newtonbrook West,0.0
Niagara,310.0876712328767
North Riverdale,0.0
North St.James Town,65.94794520547946
O'Connor-Parkview,0.0
Oakridge,0.0
Oakwood Village,0.0
Old East York,0.0
Palmerston-Little Italy,10.378082191780821
Parkwoods-Donalda,0.0
Pelmo Park-Humberlea,0.0
Playter Estates-Danforth,0.0
Pleasant View,0.0
Princess-Rosethorn,0.0
Regent Park,98.1013698630137
Rexdale-Kipling,0.0
Rockcliffe-Smythe,0.0
Roncesvalles,0.0
Rosedale-Moore Park,61.43013698630137
Rouge,0.0
Runnymede-Bloor West Village,0.0
Rustic,0.0
Scarborough Village,67.15890410958905
South Parkdale,0.0
South Riverdale,122.83287671232877
St.Andrew-Windfields,39.02465753424657
Steeles,0.0
Stonegate-Queensway,0.0
Tam O'Shanter-Sullivan,0.0
Taylor-Massey,90.24657534246575
The Beaches,0.0
Thistletown-Beaumond Heights,44.895890410958906
Thorncliffe Park,0.0
Trinity-Bellwoods,0.0
University,1293.4356164383562
Victoria Village,0.0
Waterfront Communities-The Island,86.76164383561644
West Hill,511.1013698630137
West Humber-Clairville,0.0
Westminster-Branson,0.0
Weston,0.0
Weston-Pellam Park,0.0
Wexford/Maryvale,0.0
Willowdale East,0.0
Willowdale West,0.0
Willowridge-Martingrove-Richview,0.0
Woburn,0.0
Woodbine Corridor,0.0
Woodbine-Lumsden,0.0
Agincourt North,0.0
Agincourt South-Malvern West,0.0
Alderwood,0.0
Annex,164.67123287671234
Banbury-Don Mills,0.0
Bathurst Manor,0.0
Bay Street Corridor,0.0
Bayview Village,0.0
Bayview Woods-Steeles,0.0
Bedford Park-Nortown,0.0
Beechborough-Greenbrook,0.0
Bendale,671.8794520547946
Birchcliffe-Cliffside,0.0
Black Creek,0.0
Blake-Jones,0.0
Briar Hill-Belgravia,0.0
Bridle Path-Sunnybrook-York Mills,0.0
Broadview North,39.652054794520545
Brookhaven-Amesbury,0.0
Cabbagetown-South St.James Town,0.0
Caledonia-Fairbank,44.704109589041096
Casa Loma,0.0
Centennial Scarborough,0.0
Church-Yonge Corridor,303.2849315068493
Clairlea-Birchmount,29.572602739726026
Clanton Park,0.0
Cliffcrest,0.0
Corso Italia-Davenport,55.846575342465755
Danforth,0.0
Danforth East York,0.0
Don Valley Village,0.0
Dorset Park,0.0
Dovercourt-Wallace Emerson-Junction,151.26849315068492
Downsview-Roding-CFB,24.493150684931507
Dufferin Grove,0.0
East End-Danforth,0.0
Edenbridge-Humber Valley,0.0
Eglinton East,0.0
Elms-Old Rexdale,0.0
Englemount-Lawrence,0.0
Eringate-Centennial-West Deane,0.0
Etobicoke West Mall,0.0
Flemingdon Park,0.0
Forest Hill North,0.0
Forest Hill South,0.0
Glenfield-Jane Heights,0.0
Greenwood-Coxwell,59.893150684931506
Guildwood,0.0
Henry Farm,0.0
High Park North,0.0
High Park-Swansea,0.0
Highland Creek,0.0
Hillcrest Village,0.0
Humber Heights-Westmount,0.0
Humber Summit,0.0
Humbermede,0.0
Humewood-Cedarvale,0.0
Ionview,0.0
Islington-City Centre West,0.0
Junction Area,98.8958904109589
Keelesdale-Eglinton West,0.0
Kennedy Park,336.53698630136984
Kensington-Chinatown,190.41643835616438
Kingsview Village-The Westway,0.0
Kingsway South,0.0
L'Amoreaux,0.0
